LocationName,Duration,DurationDays,Date,Mean,StdDev,Skew
Waterloo,5-Day,5.0,2000-05-03,3.6869391169828654,0.23268979914432691,-0.15170928004999037
Waterloo,5-Day,5.0,2000-05-04,3.6802772390397873,0.23474087993567117,-0.17297864942513386
Waterloo,5-Day,5.0,2000-05-05,3.6736186601757574,0.23681249871372997,-0.1938279669676728
Waterloo,5-Day,5.0,2000-05-06,3.666961559312072,0.2388946144604607,-0.21463761452633864
Waterloo,5-Day,5.0,2000-05-07,3.660303825800007,0.2409860070910714,-0.23546053605199463
Waterloo,5-Day,5.0,2000-05-08,3.653643159286727,0.24308679444529707,-0.2562834512607462
Waterloo,5-Day,5.0,2000-05-09,3.646977130864426,0.24519701262755672,-0.27708649431934274
Waterloo,5-Day,5.0,2000-05-10,3.6403034414322177,0.24731653405686227,-0.29783177953570367
Waterloo,5-Day,5.0,2000-05-11,3.6336201193159168,0.24944578169070672,-0.31845817966134415
Waterloo,5-Day,5.0,2000-05-12,3.626925575406833,0.2515856765449248,-0.33888999352565696
Waterloo,5-Day,5.0,2000-05-13,3.620218603494758,0.25373680080837674,-0.35905263847014146
Waterloo,5-Day,5.0,2000-05-14,3.613498494936444,0.25589934160514627,-0.37888813628524315
Waterloo,5-Day,5.0,2000-05-15,3.606765101580321,0.258073925431054,-0.39836869528011254
Albany,1-Day,1.0,2000-01-01,4.958788493903928,0.2030018717620743,-0.26589012303199006
Albany,1-Day,1.0,2000-01-02,4.954939798011219,0.20292324908271575,-0.2514417219806164
Albany,1-Day,1.0,2000-01-03,4.951075721964218,0.20285010923641417,-0.23701072243636767
Albany,1-Day,1.0,2000-01-04,4.947196178159647,0.2027843656713503,-0.22261583014949624
Albany,1-Day,1.0,2000-01-05,4.9433014657109435,0.2027281735779063,-0.20827995344629524
Albany,1-Day,1.0,2000-01-06,4.939392264740533,0.20268279219954866,-0.19401892573024315
Albany,1-Day,1.0,2000-01-07,4.93546968075842,0.20264870178135164,-0.17984257088809685
Albany,1-Day,1.0,2000-01-08,4.931535258024835,0.20334881754529957,-0.173
Albany,1-Day,1.0,2000-01-09,4.927590923661259,0.20372116050378522,-0.1629000241560889
